G1,G2,G3,G4,G5,V_GMPP,P_Max
1000,600,200,100,100,74.0537904053761,217.906869006686
700,700,200,100,100,70.6561712280435,236.504754681204
800,700,200,100,100,71.9481058476156,245.935575728178
900,700,200,100,100,72.7650716189933,249.766236165135
1000,700,200,100,100,73.3671402781884,252.144977801549
800,800,200,100,100,70.7866450559068,270.697151723665
900,800,200,100,100,71.8094031656586,280.662485099911
1000,800,200,100,100,72.7791473601263,284.956107133351
900,900,200,100,100,70.9712530558924,304.753427213861
1000,900,200,100,100,71.7011682366527,315.170050690863
1000,1000,200,100,100,70.9783159145425,338.646708414319
300,300,300,100,100,105.658130252767,151.606080402486
400,300,300,100,100,107.727473380971,157.431183994589
500,300,300,100,100,108.861642163711,159.16703867339
600,300,300,100,100,109.493645116502,160.212598944575
700,300,300,100,100,110.054548008516,160.963609224911
800,300,300,100,100,110.346555090241,161.547145310028
900,300,300,100,100,110.610539645496,162.026033919192
1000,300,300,100,100,110.999735043076,162.435150242709
400,400,300,100,100,110.709782272708,164.484919084983
500,400,300,100,100,112.012671318711,167.508236476292
600,400,300,100,100,112.483656917963,167.503545023321
700,400,300,100,100,113.06010864459,168.277214653526
800,400,300,100,100,113.367292470554,168.864660576939
900,400,300,100,100,113.778306064356,169.374263775083
1000,400,300,100,100,114.047497494104,169.789448486458
500,500,300,100,100,114.699000616388,170.031604490212
600,500,300,100,100,71.8353019878103,175.886706573789
700,500,300,100,100,72.7963589845619,178.743038210797
800,500,300,100,100,73.4378066968263,180.473445243859
900,500,300,100,100,73.9309908362121,181.726614171829
1000,500,300,100,100,74.424817489752,182.704421809906
600,600,300,100,100,70.4593218330918,202.205509989427
700,600,300,100,100,71.807598918625,210.999131628205
800,600,300,100,100,72.6328237411428,214.391272433876
900,600,300,100,100,73.4192602328187,216.417025883238
1000,600,300,100,100,74.0756656775549,217.905682616834
700,700,300,100,100,70.7717922834836,236.50758407846
800,700,300,100,100,71.8303713780728,245.933168060394
900,700,300,100,100,72.7535114351973,249.7670794716
1000,700,300,100,100,73.3789275967105,252.148093843457
800,800,300,100,100,70.8308726843228,270.701349355473
900,800,300,100,100,71.8146542812991,280.665185371177
1000,800,300,100,100,72.8186352618968,284.955806018961
900,900,300,100,100,71.0050198661435,304.753630787395
1000,900,300,100,100,71.8764583646592,315.185209354412
1000,1000,300,100,100,70.9887697188099,338.649024498195
400,400,400,100,100,106.552026271725,204.021296412936
500,400,400,100,100,108.339677308533,210.880290744719
600,400,400,100,100,109.331380146854,213.139761329117
700,400,400,100,100,110.178184219425,214.515422413432
800,400,400,100,100,110.604985963095,215.507985549015
900,400,400,100,100,110.845525540511,216.282050578041
1000,400,400,100,100,111.214803856407,216.917812551654
500,500,400,100,100,110.735108091785,219.380170756266
600,500,400,100,100,111.795915524252,221.93300571018
700,500,400,100,100,112.676588032519,223.218259110215
800,500,400,100,100,113.026796579274,224.245196865599
